Food_Item,Calories,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Meal_Type
wolffish raw,294,7.3,1.1,2.6,2.6,0.0,0.0,32.05,0.0,65.9375,0.3,244.5,0.0775,0.4925,0.062,0.074,0.2,5.887499999999999,1.7,0.7064999999999999,0.0,0.0,0.0,0.0,18.4,0.028,0.3,90.0625,0.033,425.98749999999995,809.3375,0.1,2.4,79.9,Medium
bluefin tuna cooked,276,9.4,2.4,3.1,2.8,0.0,0.0,32.05,0.0,65.9375,0.02,88.6,0.0775,0.4,0.034,0.062,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,0.0,0.0,0.0,0.0,15.0,0.2,2.0,90.0625,0.028,425.98749999999995,484.5,0.036,1.2,72.4,Medium
scup cooked,68,1.8,0.0,0.0,0.0,0.0,0.0,12.1,0.0,33.5,0.061,34.2,0.0775,0.004,0.051,0.037,0.044,2.5,0.4,0.2,0.0,0.0,0.0,0.0,25.5,0.078,0.3,14.5,0.034,118.5,184.0,0.015,0.3,39.718,Medium
herring cooked,290,16.6,3.7,6.8,3.9,0.0,0.0,32.05,0.0,65.9375,0.2,91.7,0.076,0.2,0.067,0.06,0.4,5.887499999999999,1.1,0.5,1.0,0.0,0.75,0.074,105.8,0.2,2.0,58.6,0.082,425.98749999999995,599.2,0.066,1.8,158.304,High
bluefish raw,186,6.4,1.4,2.7,1.6,0.0,0.0,30.1,0.0,65.9375,0.028,106.3,0.0775,0.033,0.051,0.032,0.1,5.887499999999999,1.2,0.6,0.0,0.0,0.0,0.0,10.5,0.042,0.7,49.5,0.057,340.5,558.0,0.083,1.2,47.9,Medium
sheepshead cooked,234,3.0,0.7,0.7,0.7,0.0,0.0,32.05,0.0,65.9375,0.1,128.4,0.069,0.061,0.058,0.062,0.089,3.3,1.6,0.7,0.0,0.0,0.0,0.0,68.8,0.2,1.2,65.1,0.085,425.98749999999995,809.3375,0.065,1.2,121.48,High
bass cooked,91,2.9,0.6,1.1,0.8,0.0,0.0,15.0,0.0,53.9,0.078,42.6,0.073,0.081,0.085,0.002,0.009,0.9,0.5,0.023,1.3,0.0,0.0,0.0,63.9,0.047,1.2,23.6,0.7,158.7,282.7,0.026,0.5,84.379,Medium
pout cooked,279,3.2,1.1,1.2,0.1,0.0,0.0,32.05,0.0,65.9375,0.2,208.5,0.062,0.3,0.077,0.017,0.2,5.887499999999999,0.5,0.7064999999999999,0.0,0.0,0.0,0.0,35.6,0.1,1.0,46.6,0.022,425.98749999999995,809.3375,0.1,2.9175,98.207,High
chinook salmon raw,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.2,283.7,0.0775,0.2,0.1,0.077,0.4,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.75,0.0,103.0,0.2,1.0,90.0625,0.034,425.98749999999995,809.3375,0.1,1.7,240.5,High
rockfish raw,172,2.6,0.7,0.7,0.8,0.0,0.0,32.05,0.0,65.9375,0.1,151.0,0.007,0.039,0.045,0.092,0.4,4.6,0.6,0.4,0.0,0.0,0.7,0.0,26.7,0.021,0.6,51.6,0.064,391.6,737.3,0.1,0.7,65.002,Medium
tilefish raw,371,8.9,1.7,2.2,2.3,0.0,0.0,32.05,0.0,65.9375,0.2,304.6,0.057,0.4925,0.042,0.057,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,0.0,0.0,0.0,0.0,100.4,0.2,1.0,90.0625,0.008,425.98749999999995,809.3375,0.1,1.4,177.901,High
scup raw,174,4.5,1.1,0.9,1.7,0.0,0.0,31.3,0.0,65.9375,0.082,125.1,0.037,0.2,0.02,0.014,0.2,5.887499999999999,1.2,0.5,0.0,0.0,0.75,0.001,66.4,0.008,0.9,38.2,0.086,307.1,476.4,0.09,0.8,103.111,High
sablefish cooked,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.2,189.8,0.0775,0.4,0.085,0.046,0.3,5.887499999999999,1.9280000000000002,0.7064999999999999,0.0,0.0,0.0,0.0,119.5375,0.013,4.35,90.0625,0.095,425.98749999999995,809.3375,0.1,1.2,252.4,High
tuna salad,383,19.0,3.2,5.9,4.1435,19.3,0.0,32.05,0.0,26.7,0.696,129.5,0.004,0.028,0.059,0.049,0.1,5.887499999999999,0.5,0.2,4.0625,0.0,0.0,0.0,34.9,0.3,2.1,39.0,0.082,364.9,364.9,0.001,1.1,112.727,High
coho salmon cooked,255,11.8,2.8,5.2,2.8,0.0,0.0,32.05,0.0,65.9375,0.06,95.8,0.063,0.1,0.064,0.086,0.2,5.887499999999999,1.8,0.7064999999999999,2.1,0.0,0.0,0.0,17.2,0.1,0.6,48.6,0.056,425.98749999999995,657.8,0.081,0.7,66.478,Medium
roe raw,20,0.9,0.2,0.2,0.4,0.2,0.0,3.1,0.0,52.4,0.052,9.5,0.028,0.025,0.068,0.004,0.1,0.3,0.1,0.072,2.2,0.0,0.75,0.018,3.1,0.062,0.085,2.8,0.002,56.3,30.9,0.059,0.1,9.553,Low
sea bass raw,125,2.6,0.7,0.5,1.0,0.0,0.0,23.8,0.0,52.9,0.084,101.0,0.001,0.1,0.079,0.064,0.2,2.1,1.0,0.5,0.0,0.0,0.75,0.091,12.9,0.079,0.4,52.9,0.09,250.3,330.2,0.082,0.5,39.739,Medium
pink salmon cooked,349,12.0,2.2,3.7,2.2,0.0,0.0,32.05,0.0,65.9375,0.2,161.1,0.029,0.055,0.188,0.043,0.012,0.3,1.9280000000000002,0.7064999999999999,1.6,0.0,0.041,0.165,0.066,0.9400000000000001,0.2,1.0,1.6945,0.003,713.6,0.20099999999999998,0.089,69.873,Medium
sockeye salmon cooked,493,17.3,3.0,5.8,4.1,0.0,0.0,32.05,0.0,65.9375,0.3,208.7,0.0775,0.2,0.188,0.035,0.04,0.8,1.9280000000000002,0.7064999999999999,2.6,0.0,0.016,0.165,0.089,0.9400000000000001,0.2,1.6,1.6945,0.096,809.3375,0.20099999999999998,0.1,102.315,High
whitefish raw,265,11.6,1.8,4.0,4.1435,0.0,0.0,32.05,0.0,65.9375,0.1,144.1,0.0775,0.3,0.089,0.095,0.2,5.887499999999999,1.5,0.6,0.0,0.0,0.4,0.061,51.5,0.1,0.7,65.3,0.1,425.98749999999995,627.7,0.059,2.0,101.603,High
greenland halibut cooked,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.3,196.8,0.0775,0.2,0.07,0.004,0.3,5.887499999999999,0.9,0.7064999999999999,0.0,0.0,0.0,0.0,12.7,0.1,2.7,90.0625,0.075,425.98749999999995,809.3375,0.1,1.6,130.404,High
northern pike cooked,350,2.7,0.5,0.6,0.8,0.0,0.0,32.05,0.0,65.9375,0.2,226.2,0.0775,0.2,0.098,0.088,0.2,5.887499999999999,1.9280000000000002,0.4,4.0625,0.0,0.0,0.0,119.5375,0.2,2.2,90.0625,1.0,425.98749999999995,809.3375,0.024,2.7,312.37675,High
salmon raw,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.2,257.0,0.0,0.4925,0.1,0.021,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.75,0.059,35.6,0.2,1.3,90.0625,0.029,425.98749999999995,809.3375,0.014,1.4,186.3,High
turbot cooked,388,12.0,0.0,0.0,0.0,0.0,0.0,32.05,0.0,65.9375,0.6,224.0,0.02,0.2,0.04,0.026,0.3,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.0,0.0,73.1,0.1,1.5,90.0625,0.064,425.98749999999995,809.3375,0.1,0.9,157.453,High
surimi,28,0.3,0.059,0.043,0.1,1.9,0.0,4.3,0.0,8.5,0.042,21.6,0.0775,0.072,0.006,0.035,0.078,0.062,0.055,0.064,0.0,0.0,0.2,0.003,2.5,0.007,0.057,12.2,0.043,79.8,31.7,0.047,0.026,9.072,Low
chinook salmon cooked,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.2,202.0,0.0775,0.1,0.1,0.065,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.0,0.0,86.2,0.2,2.8,90.0625,0.074,425.98749999999995,809.3375,0.1,1.7,222.5,High
mullet cooked,140,4.5,1.3,1.3,0.9,0.0,0.0,23.1,0.0,58.6,0.001,65.6,0.053,0.022,0.034,0.084,0.09,5.887499999999999,0.8,0.5,1.1,0.0,0.0,0.0,28.8,0.1,1.3,30.7,0.048,226.9,425.9,0.027,0.8,58.866,Medium
chum salmon raw,3,0.1,0.08,0.035,0.037,0.0,0.0,0.6,0.0,2.1,0.029,2.1,0.0775,0.016,0.097,0.065,0.06,0.2,0.043,0.036,0.0,0.0,0.093,0.0,0.3,0.091,0.038,0.6,0.055,7.9,12.0,0.02,0.062,1.025,Low
butterfish raw,47,2.6,1.1,1.1,0.2,0.0,0.0,5.5,0.0,20.8,0.072,23.7,0.031,0.073,0.04,0.048,0.077,1.4,0.2,0.03,0.0,0.0,0.0,0.0,7.0,0.065,0.2,8.0,0.091,76.8,120.0,0.067,0.2,15.332,Low
sea bass cooked,125,2.6,0.7,0.5,1.0,0.0,0.0,23.9,0.0,53.5,0.058,72.9,0.053,0.1,0.048,0.046,0.2,1.9,0.9,0.5,0.0,0.0,0.0,0.0,13.1,0.046,0.4,53.5,0.056,250.5,331.3,0.023,0.5,40.067,Medium
greenland halibut raw,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.3,286.7,0.009,0.2,0.069,0.005,0.3,5.887499999999999,1.0,0.7064999999999999,0.0,0.0,0.75,0.091,12.2,0.1,2.7,90.0625,0.045,425.98749999999995,809.3375,0.1,1.6,130.06,High
halibut raw,371,5.4,1.2,1.9,1.2,0.0,0.0,32.05,0.0,65.9375,0.3,314.0625,0.072,0.2,0.079,0.015,0.1,5.887499999999999,1.4,0.7064999999999999,0.0,0.0,0.75,0.0,28.6,0.08,0.7,90.0625,0.02,425.98749999999995,809.3375,0.2,1.5,110.481,High
sturgeon cooked,184,7.0,1.6,3.4,1.2,0.0,0.0,28.2,0.0,65.9375,0.019,95.1,0.0775,0.1,0.072,0.087,0.1,5.887499999999999,1.2,0.3,0.0,0.0,0.75,0.039,23.1,0.054,1.2,61.2,0.038,368.6,495.0,0.044,0.7,59.9,Medium
fish fillet fried,211,11.2,2.6,2.3,4.1435,15.4,0.0,13.3,0.5,30.9,0.5,48.7,0.0775,0.043,0.05,0.054,0.089,1.9,0.2,0.066,0.0,0.0,0.0,0.0,16.4,0.003,1.9,21.8,0.2,155.6,291.2,0.035,0.4,58.716,Medium
rainbow trout raw,111,4.9,1.1,1.6,1.2,0.0,0.0,15.8,0.0,46.6,0.022,58.3,0.044,0.032,0.056,0.057,0.091,4.4,1.3,0.3,2.3,0.0,0.75,0.094,19.8,0.096,0.2,19.8,0.008,178.5,297.8,0.067,0.4,43.047,Medium
pout raw,278,3.2,1.1,1.2,0.1,0.0,0.0,32.05,0.0,65.9375,0.2,286.4,0.032,0.3,0.022,0.021,0.2,5.887499999999999,0.5,0.7064999999999999,0.0,0.0,0.0,0.0,35.2,0.1,1.0,45.8,0.003,425.98749999999995,809.3375,0.1,2.9175,98.078,High
rainbow smelt cooked,35,0.9,0.2,0.2,0.3,0.0,0.0,6.4,0.0,25.5,0.047,20.6,0.005,0.072,0.021,0.089,0.083,0.5,0.2,0.041,0.0,0.0,0.0,0.0,21.8,0.01,0.3,10.8,0.3,83.5,105.3,0.062,0.6,29.428,Medium
monkfish raw,22,0.4,0.079,0.074,0.2,0.0,0.0,4.1,0.0,7.1,0.059,23.6,0.005,0.092,0.082,0.021,0.081,0.6,0.025,0.077,0.3,0.0,0.0,0.0,2.3,0.041,0.059,5.9,0.057,56.6,113.2,0.09,0.1,7.21,Low
trout raw,117,5.2,0.9,2.6,1.2,0.0,0.0,16.4,0.0,45.8,0.051,56.4,0.0775,0.3,0.041,0.027,0.3,3.6,1.5,0.2,0.4,0.0,0.2,0.003,34.0,0.1,1.2,17.4,0.7,193.6,285.2,0.095,0.5,57.297,Medium
shark raw,37,1.3,0.3,0.5,0.3,0.0,0.0,5.9,0.0,14.4,0.003,20.8,0.012,0.009,0.079,0.085,0.017,0.8,0.2,0.1,0.0,0.0,0.3,0.007,9.6,0.01,0.2,13.9,0.088,59.4,45.3,0.067,0.1,17.064,Low
burbot raw,104,0.9,0.2,0.2,0.3,0.0,0.0,22.4,0.0,65.9375,0.1,91.9,0.0775,0.4,0.024,0.048,0.2,1.9,0.2,0.3,0.0,0.0,0.0,0.0,58.0,0.2,1.0,37.1,0.8,232.0,468.6,0.043,0.9,82.309,Medium
dolphinfish cooked,173,1.4,0.4,0.2,0.3,0.0,0.0,32.05,0.0,65.9375,0.2,113.2,0.046,0.092,0.096,0.086,0.1,5.887499999999999,1.4,0.7,0.0,0.0,0.0,0.0,30.2,0.052,2.3,60.4,0.018,291.0,809.3375,0.057,0.9,71.625,Medium
crayfish cooked,25,0.4,0.089,0.022,0.1,0.0,0.0,5.0,0.0,38.8,0.058,22.9,0.0775,0.045,0.056,0.076,0.051,0.5,0.1,0.058,0.1,0.0,0.0,0.0,14.4,0.2,0.3,9.3,0.072,68.2,67.4,0.047,0.4,20.222,Low
dolphinfish raw,173,1.4,0.4,0.2,0.3,0.0,0.0,32.05,0.0,65.9375,0.2,158.2,0.0775,0.05,0.005,0.04,0.1,5.887499999999999,1.5,0.7064999999999999,0.0,0.0,0.0,0.0,30.6,0.089,2.3,61.2,0.084,291.7,809.3375,0.006,0.9,72.1,Medium
perch cooked,54,0.5,0.1,0.029,0.2,0.0,0.0,11.4,0.0,52.9,0.043,33.7,0.019,0.006,0.099,0.02,0.088,0.9,0.4,0.07,0.8,0.0,0.0,0.0,46.9,0.085,0.5,17.5,0.4,118.2,158.2,0.08,0.7,60.112,Medium
cusk raw,106,0.8,0.2,0.1,0.3,0.0,0.0,23.2,0.0,50.0,0.086,93.1,0.038,0.033,0.038,0.037,0.2,3.3,0.3,0.5,0.0,0.0,0.0,0.0,12.2,0.061,1.0,37.8,0.032,248.9,478.2,0.01,0.5,37.228,Medium
bluefin tuna raw,41,1.4,0.4,0.5,0.4,0.0,0.0,6.6,0.0,10.8,0.013,19.3,0.0775,0.037,0.041,0.008,0.042,2.4,0.3,0.1,0.0,0.0,0.3,0.0,2.3,0.038,0.3,14.2,0.068,71.9,71.3,0.07,0.2,10.8,Low
milkfish cooked,54,2.4,0.0,0.0,0.0,0.0,0.0,7.4,0.0,19.0,0.076,17.7,0.027,0.069,0.08,0.061,0.058,2.3,0.2,0.1,0.0,0.0,0.0,0.0,18.4,0.05,0.1,10.8,0.003,58.9,105.8,0.065,0.3,28.341,Medium
carp raw,277,12.2,2.4,5.1,3.1,0.0,0.0,32.05,0.0,65.9375,0.1,166.4,0.042,0.3,0.094,0.087,0.1,3.6,1.6,0.4,3.5,0.0,0.75,0.016,89.4,0.1,2.7,63.2,0.065,425.98749999999995,725.9,0.037,2.9175,146.793,High
sturgeon raw,30,1.1,0.3,0.5,0.2,0.0,0.0,4.6,0.0,17.0,0.007,21.7,0.016,0.058,0.039,0.039,0.082,2.3,0.2,0.013,0.0,0.0,0.1,0.03,3.7,0.01,0.2,9.9,0.035,59.7,80.4,0.077,0.1,9.612,Low
orange roughy raw,22,0.2,0.057,0.051,0.086,0.0,0.0,4.6,0.0,17.0,0.063,21.4,0.0775,0.086,0.073,0.078,0.005,0.4,0.082,0.038,0.0,0.0,0.3,0.063,2.5,0.015,0.3,4.8,0.091,30.3,47.3,0.042,0.039,7.672,Low
catfish fried,199,11.6,2.9,4.9,2.9,7.0,0.0,15.7,0.6,61.8,0.2,51.2,0.0,0.04,0.015,0.054,0.1,2.0,0.6,0.2,0.0,0.0,0.0,0.0,38.3,0.01,1.2,23.5,0.05,187.9,295.8,0.098,0.7,74.4,Medium
cuttlefish raw,22,0.2,0.002,0.088,0.069,0.2,0.0,4.6,0.0,31.7,0.1,22.8,0.048,0.025,0.093,0.01,0.3,0.3,0.1,0.079,1.5,0.0,0.0,0.0,25.5,0.2,1.7,8.5,0.092,109.5,100.2,0.083,0.5,33.734,Medium
bass raw,90,2.9,0.6,1.1,0.8,0.0,0.0,14.9,0.0,53.7,0.055,59.8,0.004,0.091,0.046,0.003,0.046,1.0,0.6,0.052,1.6,0.0,0.0,0.0,63.2,0.093,1.2,23.7,0.7,158.0,281.2,0.057,0.5,83.837,Medium
flounder cooked,109,3.0,0.7,0.8,0.6,0.0,0.0,19.4,0.0,65.9375,0.5,103.0,0.047,0.067,0.094,0.014,0.018,0.002,1.6,0.3,0.1,0.0,0.005,0.165,0.1,0.9400000000000001,0.099,0.3,1.6945,0.077,392.4,0.20099999999999998,0.049,22.622,Low
milkfish raw,42,1.9,0.5,0.7,0.5,0.0,0.0,5.8,0.0,14.7,0.098,20.1,0.0775,0.091,0.09,0.012,0.027,1.8,0.2,0.1,0.0,0.0,0.0,0.0,14.4,0.021,0.057,8.5,0.088,45.8,82.6,0.042,0.2,22.203,Low
eel raw,375,23.049999999999997,4.8,8.413375,1.9,0.0,0.0,32.05,0.0,65.9375,0.1,139.3,0.0775,0.3,0.049,0.061,0.002,5.887499999999999,0.5,0.1,3.7,0.0,0.75,0.0,40.8,0.069,1.0,40.8,0.038,425.98749999999995,554.9,0.011,2.9175,109.0,High
catfish raw,189,9.4,2.1,4.1,1.8,0.0,0.0,24.2,0.0,65.9375,0.2,125.7,0.0,0.022,0.083,0.003,0.1,3.3,1.1,0.2,0.0,0.0,0.75,0.022,12.7,0.003,0.4,30.2,0.073,324.4,480.2,0.056,0.8,46.7,Medium
fish sticks,78,4.5,1.0,0.9,2.2,6.1,0.5,3.1,0.4,7.8,0.1,13.9,0.055,0.006,0.037,0.039,0.3,0.082,0.4,0.0,0.038,0.0,0.0,0.165,0.089,0.9400000000000001,0.3,0.2,1.6945,0.0,53.5,0.20099999999999998,0.072,14.563,Low
coho salmon raw,254,12.2,2.9,5.3,3.0,0.0,0.0,32.05,0.0,65.9375,0.054,112.0,0.012,0.1,0.076,0.095,0.2,5.887499999999999,1.8,0.7064999999999999,1.7,0.0,0.0,0.0,19.1,0.022,0.5,49.3,0.023,425.98749999999995,715.5,0.028,0.7,67.308,Medium
monkfish cooked,27,0.6,0.0,0.0,0.0,0.0,0.0,5.3,0.0,9.1,0.004,22.2,0.006,0.014,0.011,0.024,0.045,0.7,0.01,0.039,0.3,0.0,0.0,0.0,2.8,0.033,0.1,7.6,0.082,72.4,145.2,0.036,0.1,9.165,Low
yellowtail cooked,546,19.6,0.0,0.0,0.0,0.0,0.0,32.05,0.0,65.9375,0.1,196.6,0.045,0.4925,0.085,0.034,0.1,5.887499999999999,1.9280000000000002,0.5,4.0625,0.0,0.0,0.0,84.7,0.2,1.8,90.0625,0.095,425.98749999999995,809.3375,0.1,2.0,201.282,High
yellowfin tuna cooked,37,0.2,0.054,0.095,0.038,0.0,0.0,8.2,0.0,13.3,0.011,19.5,0.0775,0.065,0.019,0.059,0.093,5.887499999999999,0.021,0.3,0.0,0.0,0.042,0.023,1.1,0.001,0.3,11.9,0.014,94.2,149.1,0.003,0.1,9.861,Low
ling cooked,168,1.2,0.0,0.0,0.0,0.0,0.0,32.05,0.0,65.9375,0.3,111.6,0.025,0.2,0.009,0.06,0.3,4.2,0.6,0.5,0.0,0.0,0.0,0.0,66.4,0.2,1.3,90.0625,0.035,383.5,733.9,0.079,1.5,105.731,High
eel cooked,67,4.2,0.9,2.6,0.3,0.0,0.0,6.7,0.0,45.6,0.069,16.8,0.0775,0.008,0.074,0.058,0.066,1.3,0.067,0.031,0.5,0.0,0.0,0.0,7.4,0.075,0.2,7.4,0.058,78.4,98.8,0.01,0.6,19.3,Low
sablefish raw,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.2,274.1,0.0775,0.4,0.094,0.1,0.3,5.887499999999999,1.9280000000000002,0.7064999999999999,0.0,0.0,0.0,0.0,119.5375,0.037,4.35,90.0625,0.077,425.98749999999995,809.3375,0.1,1.2,251.3,High
salmon nuggets,60,3.3,0.4,1.3,0.9,4.0,0.0,3.6,0.0,7.4,0.005,17.1,0.0,0.018,0.076,0.086,0.059,1.3,0.1,0.046,0.0,0.0,0.0,0.0,2.3,0.039,0.4,5.7,0.06,49.8,46.7,0.0,0.1,13.6,Low
yellowtail raw,546,19.6,4.8,7.4,4.1435,0.0,0.0,32.05,0.0,65.9375,0.1,278.7,0.0775,0.4925,0.08,0.072,0.1,5.887499999999999,1.9280000000000002,0.6,4.0625,0.0,0.0,0.071,86.0,0.2,1.8,90.0625,0.002,425.98749999999995,809.3375,0.1,1.9,204.5,High
butterfish cooked,47,2.6,0.0,0.0,0.0,0.0,0.0,5.5,0.0,20.8,0.042,16.7,0.029,0.055,0.092,0.057,0.016,1.4,0.2,0.041,0.0,0.0,0.0,0.0,7.0,0.028,0.2,8.0,0.095,77.0,120.3,0.02,0.2,15.35,Low
caviar,42,2.9,0.6,0.7,1.2,0.6,0.0,3.9,0.0,65.9375,0.2,7.6,0.054,0.037,0.038,0.083,0.003,0.051,0.6,0.005,0.0,0.0,0.3,0.065,44.0,0.086,1.9,48.0,0.068,57.0,29.0,0.098,0.2,53.325,Medium
pollock raw,355,3.8,0.5,0.4,1.9,0.0,0.0,32.05,0.0,65.9375,0.3,301.8,0.068,0.2,0.068,0.062,0.4865,5.887499999999999,1.4,0.7064999999999999,0.0,0.0,0.75,0.014,119.5375,0.2,1.8,90.0625,0.081,425.98749999999995,809.3375,0.1,1.8,312.275,High
catfish cooked,206,10.3,2.3,4.5,1.9,0.0,0.0,26.4,0.0,65.9375,0.2,106.7,0.066,0.045,0.044,0.066,0.021,0.1,1.9280000000000002,0.7064999999999999,0.3,0.0,0.035,0.165,0.01,0.9400000000000001,0.098,0.4,1.6945,0.011,353.2,0.20099999999999998,0.03,37.141,Medium
whiting raw,83,1.2,0.2,0.3,0.4,0.0,0.0,16.8,0.0,61.6,0.016,73.8,0.0775,0.066,0.057,0.07,0.059,1.2,0.2,0.1,0.0,0.0,0.3,0.086,44.2,0.085,0.3,19.3,0.012,204.2,229.1,0.049,0.8,62.592,Medium
pink salmon raw,404,14.0,2.6,4.3,2.6,0.0,0.0,32.05,0.0,65.9375,0.2,240.2,0.0775,0.3,0.044,0.03,0.3,5.887499999999999,1.9280000000000002,0.7064999999999999,0.0,0.0,0.75,0.025,22.3,0.2,1.2,85.9,0.057,425.98749999999995,809.3375,0.035,1.2,102.8,High
yellowfin tuna raw,31,0.1,0.073,0.008,0.026,0.0,0.0,6.9,0.0,11.0,0.049,21.0,0.048,0.0,0.084,0.063,0.035,5.2,0.012,0.3,0.0,0.0,0.063,0.09,1.1,0.014,0.2,9.9,0.062,78.7,124.8,0.096,0.1,8.322,Low
mackerel raw,230,15.6,3.6,6.1,3.8,0.0,0.0,20.8,0.0,65.9375,0.1,71.2,0.019,0.2,0.007,0.047,0.3,5.887499999999999,1.0,0.4,0.4,0.0,0.75,0.025,13.4,0.027,1.8,85.1,0.015,243.0,351.7,0.067,0.7,52.063,Medium
turbot raw,388,12.0,3.1,2.5,3.6,0.0,0.0,32.05,0.0,65.9375,0.6,314.0,0.001,0.3,0.094,0.09,0.3,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.0,0.0,73.4,0.2,1.5,90.0625,0.06,425.98749999999995,809.3375,0.1,0.9,159.322,High
cusk cooked,106,0.8,0.0,0.0,0.0,0.0,0.0,23.1,0.0,50.4,0.047,66.2,0.016,0.097,0.015,0.007,0.2,3.1,0.3,0.4,0.0,0.0,0.0,0.0,12.4,0.077,1.0,38.0,0.048,248.9,477.9,0.012,0.5,37.306,Medium
atlantic croaker raw,82,2.5,0.9,0.9,0.4,0.0,0.0,14.0,0.0,48.2,0.014,61.6,0.039,0.079,0.028,0.066,0.038,3.3,0.6,0.2,0.0,0.0,0.75,0.068,11.9,0.065,0.3,31.6,0.017,165.9,272.6,0.053,0.3,28.709,Medium
sucker cooked,148,3.7,0.7,1.1,1.3,0.0,0.0,26.6,0.0,65.7,0.019,91.7,0.006,0.053,0.043,0.026,0.1,1.8,1.1,0.3,0.0,0.0,0.0,0.0,111.6,0.3,2.1,47.1,1.0,333.6,603.9,0.0,1.2,144.006,High
spot raw,79,3.1,0.9,0.9,0.7,0.0,0.0,11.8,0.0,38.4,0.022,48.6,0.005,0.1,0.063,0.042,0.1,4.5,0.5,0.3,0.0,0.0,0.0,0.0,9.0,0.014,0.2,26.9,0.095,119.0,317.4,0.024,0.3,24.113,Low
drum cooked,236,9.7,2.2,4.3,2.3,0.0,0.0,32.05,0.0,65.9375,0.1,109.2,0.0775,0.1,0.058,0.019,0.3,4.4,1.3,0.5,1.5,0.0,0.0,0.0,118.6,0.5,1.8,58.5,1.4,355.7,543.6,0.076,1.3,166.292,High
crayfish raw,3,0.048,0.01,0.043,0.01,0.0,0.0,0.6,0.0,4.3,0.024,3.4,0.0775,0.015,0.1,0.082,0.024,0.056,0.048,0.047,0.078,0.0,0.0,0.0,1.0,0.058,0.053,1.2,0.034,8.7,10.4,0.093,0.009,1.788,Low
tilefish cooked,441,14.1,2.6,4.0,3.7,0.0,0.0,32.05,0.0,65.9375,0.2,210.7,0.022,0.4,0.067,0.01,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,0.0,0.0,0.0,0.0,78.0,0.2,0.9,90.0625,0.064,425.98749999999995,809.3375,0.2,1.6,166.521,High
bluefish cooked,186,6.4,1.4,2.7,1.6,0.0,0.0,30.1,0.0,65.9375,0.045,73.3,0.0775,0.012,0.066,0.019,0.1,5.887499999999999,1.1,0.5,0.0,0.0,0.0,0.0,10.5,0.049,0.7,49.1,0.015,340.5,558.1,0.084,1.2,47.9,Medium
grouper cooked,238,2.6,0.6,0.5,0.8,0.0,0.0,32.05,0.0,65.9375,0.1,148.2,0.0775,0.2,0.023,0.083,0.035,0.8,1.8,0.7,0.0,0.0,0.0,0.0,42.4,0.063,2.3,74.7,0.075,288.9,809.3375,0.088,1.0,97.6,High
sheepshead raw,257,5.7,1.4,1.7,1.2,0.0,0.0,32.05,0.0,65.9375,0.2,185.6,0.022,0.082,0.019,0.067,0.073,3.6,1.8,0.7,0.0,0.0,0.0,0.0,50.0,0.05,1.1,76.2,0.083,425.98749999999995,809.3375,0.056,0.9,104.93,High
herring kippered,87,4.9,1.1,2.0,1.2,0.0,0.0,9.8,0.0,32.8,0.4,23.9,0.005,0.07,0.02,0.068,0.1,1.8,0.4,0.2,0.4,0.0,0.6,0.086,33.6,0.081,0.6,18.4,0.062,130.0,178.8,0.053,0.5,49.314,Medium
grouper raw,238,2.6,0.6,0.5,0.8,0.0,0.0,32.05,0.0,65.9375,0.1,205.2,0.0775,0.2,0.077,0.045,0.013,0.8,1.9,0.7064999999999999,0.0,0.0,0.0,0.0,69.9,0.027,2.3,80.3,0.042,419.6,809.3375,0.059,1.2,125.1,High
ocean perch cooked,48,0.9,0.2,0.3,0.2,0.0,0.0,9.3,0.0,31.5,0.2,37.1,0.011,0.031,0.071,0.095,0.044,0.018,0.6,0.2,0.021,0.0,0.042,0.165,0.069,0.9400000000000001,0.073,0.1,1.6945,0.075,150.0,0.20099999999999998,0.004,10.368,Low
